SUB_TYPE,SUB_TYPE_DESC,DATA_STATUS,DATA_STATUS_DISPLAY,STATUS_CLASS,ADDRESS,URL,LAST_UPDATED,LATITUDE,LONGITUDE,NEIGHBORHOOD
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,3715 HIGH POINT AV                   ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500508,09/08/2017 12:00:00 AM +0000,39.157425,-84.59801658,WESTWOOD
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,2913 WESTKNOLLS LN                   ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500500,09/08/2017 12:00:00 AM +0000,39.1382572,-84.57593605,WESTWOOD
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,5553 BOSWORTH PL                     ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500460,09/08/2017 12:00:00 AM +0000,39.17625683,-84.44271795,PLEASANT RIDGE
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,6112 HEDGE AV                        ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500370,09/08/2017 12:00:00 AM +0000,39.18183931,-84.40567361,KENNEDY HEIGHTS
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,2248 QUEBEC RD                       ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500365,09/08/2017 12:00:00 AM +0000,39.12287196,-84.56440388,EAST PRICE HILL
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,1806 DALE RD                         ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1400748,09/08/2017 12:00:00 AM +0000,39.17703663,-84.46246679,BOND HILL
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,6385 SAVANNAH AV                     ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1400008,09/08/2017 12:00:00 AM +0000,39.20943028,-84.55412304,COLLEGE HILL
FORECLOS,FORECLOSED PROPERTY,FORCLOSD,Occupied - Foreclosure Filed - Still Occupied,OPEN,7943 GLENORCHARD DR                  ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700182,09/08/2017 12:00:00 AM +0000,39.20917127,-84.45887092,ROSELAWN
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,3341 NINANN CT                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600539,09/08/2017 12:00:00 AM +0000,39.14429552,-84.56799905,EAST WESTWOOD
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,1833 SUNNYBROOK DR                   ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600524,09/08/2017 12:00:00 AM +0000,39.20694103,-84.45432574,ROSELAWN
